id,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38,epoch_39,epoch_40,epoch_41,epoch_42,epoch_43,epoch_44,epoch_45,epoch_46,epoch_47,epoch_48,epoch_49,epoch_50,epoch_51,epoch_52,epoch_53,epoch_54,epoch_55,epoch_56,epoch_57,epoch_58,epoch_59,epoch_60,epoch_61,epoch_62,epoch_63,epoch_64,epoch_65,epoch_66,epoch_67,epoch_68,epoch_69,epoch_70,epoch_71,epoch_72,epoch_73,epoch_74,epoch_75,epoch_76,epoch_77,epoch_78,epoch_79,epoch_80,epoch_81,epoch_82,epoch_83,epoch_84,epoch_85,epoch_86,epoch_87,epoch_88,epoch_89,epoch_90,epoch_91,epoch_92,epoch_93,epoch_94,epoch_95,epoch_96,epoch_97,epoch_98,epoch_99,epoch_100,best_accuracy,best_epoch,warmup_epochs,interval_epochs,measure,heuristic,model,dataset
1s33ocbb,33.54,42.82,48.0,51.29,54.63,59.99,62.32,64.96,66.26,68.73,69.73,69.84,71.76,71.7,72.36,72.62,73.49,74.04,74.34,75.11,75.83,76.56,76.38,76.52,76.67,76.35,76.15,76.99,78.38,78.01,78.05,77.83,78.37,77.77,79.1,78.07,78.72,78.86,79.22,79.72,79.29,79.08,79.04,80.14,79.77,79.69,80.34,80.05,80.04,80.34,80.09,79.91,80.3,80.43,80.63,80.37,80.22,79.83,80.37,80.66,79.96,79.9,79.94,81.08,81.33,80.28,80.44,81.14,80.78,80.85,81.42,80.88,81.68,81.85,81.57,81.91,81.76,82.35,81.39,81.75,81.32,81.93,82.06,82.0,81.16,81.81,81.34,81.83,82.02,82.08,82.32,81.54,82.51,82.15,82.58,81.62,81.72,82.13,82.15,82.14,82.58,95,10,30,variance,steps,resnet18,cifar10
3qksh3ix,30.71,40.12,47.69,50.2,54.96,59.7,62.52,65.93,66.67,69.52,70.12,71.2,72.81,72.19,73.57,73.1,75.22,75.44,75.48,76.92,76.16,76.92,76.41,77.49,77.12,77.87,77.81,77.9,78.49,78.97,78.53,78.08,78.67,79.47,79.53,79.11,79.54,79.18,78.94,79.77,80.12,79.98,80.72,80.03,80.73,80.16,79.94,80.38,80.18,80.09,80.82,80.13,80.01,80.41,80.74,80.87,80.75,80.52,80.64,80.97,80.52,80.47,80.61,81.28,80.67,80.98,80.96,81.35,81.23,79.83,81.28,81.7,80.98,81.5,81.24,81.4,81.76,81.58,82.0,82.04,81.7,81.53,81.69,81.86,81.82,82.14,81.62,81.59,81.45,82.3,81.84,81.54,81.62,81.25,82.28,82.15,82.17,82.57,82.95,81.55,82.95,99,10,30,variance,steps,resnet18,cifar10
3ddtl2xs,35.07,44.2,49.19,53.97,58.39,62.69,65.77,67.44,68.57,69.57,71.46,72.08,73.2,73.48,73.79,74.88,75.58,75.38,76.51,76.22,76.62,77.15,77.43,77.38,77.49,78.59,78.66,78.92,78.81,78.49,78.1,79.32,78.91,79.4,79.54,79.68,80.29,79.67,79.98,78.98,79.26,79.99,79.32,79.89,80.34,80.98,79.35,79.92,80.7,80.9,80.42,80.74,81.15,80.13,80.43,80.99,81.15,81.45,80.97,80.75,80.96,81.54,80.2,80.74,81.16,81.64,80.4,81.37,81.46,81.67,81.61,81.74,82.0,81.43,82.14,82.21,82.04,81.31,81.05,81.69,82.66,82.21,82.33,82.49,82.29,82.08,82.87,82.39,81.53,81.56,82.4,82.07,82.52,82.26,82.22,82.87,81.92,82.29,82.14,82.38,82.87,87,10,30,variance,steps,resnet18,cifar10
384o4yki,30.55,39.17,45.7,48.84,54.2,57.84,60.49,63.1,65.29,67.26,68.29,70.38,71.76,71.6,72.29,72.9,73.65,73.99,75.43,75.41,75.3,75.84,75.45,76.53,76.58,76.72,76.6,77.43,76.93,78.03,77.89,78.22,78.34,78.93,78.92,78.58,78.3,79.1,79.58,78.66,79.75,79.39,79.05,79.19,79.66,79.73,80.34,79.92,79.99,79.98,80.56,79.89,80.56,80.32,80.35,80.61,80.36,79.74,80.82,80.76,80.71,80.42,81.04,80.96,80.29,80.75,81.37,80.45,80.99,81.27,81.4,81.61,81.97,81.59,81.95,81.43,81.74,81.59,82.03,81.79,81.44,80.81,81.27,81.5,81.97,81.19,81.75,82.43,81.91,81.31,82.17,81.79,82.01,80.94,81.99,81.7,81.33,82.29,81.83,81.81,82.43,88,10,30,variance,steps,resnet18,cifar10
1qfc255w,23.83,35.84,43.98,47.72,51.89,56.74,59.62,63.02,64.65,66.87,68.94,69.15,69.53,70.62,72.56,72.11,73.11,75.11,75.28,75.15,76.26,75.63,75.76,77.25,76.84,76.8,77.97,77.77,77.27,78.3,77.55,78.34,78.94,78.57,78.94,78.34,79.58,79.29,79.22,79.44,79.57,80.0,79.32,79.23,79.77,80.11,80.07,80.06,79.97,79.91,79.87,79.95,80.18,79.81,80.04,80.1,80.71,79.56,80.62,80.05,80.44,80.81,80.24,81.11,80.72,80.7,80.21,80.85,80.68,81.16,81.2,82.12,81.81,81.49,81.22,81.88,82.11,81.97,81.96,81.07,81.53,81.96,82.23,82.0,81.61,82.17,81.99,80.44,81.89,82.35,82.21,81.84,81.93,81.55,81.84,81.71,82.64,82.04,81.73,82.15,82.64,97,10,30,variance,steps,resnet18,cifar10
2tgjom2z,33.3,41.59,47.92,50.35,56.37,61.18,63.25,65.42,67.37,68.24,69.74,70.88,71.34,72.16,73.27,73.47,73.49,75.07,75.54,75.16,76.05,75.78,76.17,76.71,76.83,77.58,76.92,76.95,78.32,77.46,78.52,78.4,78.85,78.25,78.37,77.98,78.97,79.5,78.97,78.9,79.09,78.83,79.92,79.31,79.3,80.18,80.63,79.74,80.12,79.67,80.16,79.47,80.47,80.4,80.4,80.41,80.78,80.7,80.43,80.89,80.74,80.65,80.04,80.66,80.83,80.79,80.8,80.33,80.6,81.18,81.72,81.61,81.92,81.17,81.3,81.46,81.68,81.78,81.55,81.51,81.61,81.9,82.27,81.32,81.57,81.11,81.82,82.21,81.6,81.93,81.77,82.09,81.42,82.29,82.11,82.33,82.9,82.33,82.0,82.18,82.9,97,10,30,variance,steps,resnet18,cifar10
3jwk6yyu,19.84,34.25,40.93,47.42,51.44,57.4,59.35,63.18,64.39,66.06,67.39,69.11,69.51,70.24,71.85,72.57,72.76,73.39,73.98,75.8,73.81,76.67,76.03,76.56,76.3,76.79,77.65,78.05,78.32,77.81,77.56,78.52,78.65,79.25,78.82,79.12,79.45,78.64,78.95,79.63,79.57,79.19,79.15,79.54,80.24,79.69,80.1,80.74,79.85,80.19,80.25,80.75,80.33,80.81,80.49,79.77,80.76,80.66,80.12,80.6,80.82,80.66,81.35,80.68,81.29,80.39,80.78,80.97,80.82,80.89,81.44,81.52,81.61,82.37,81.37,81.81,81.3,81.57,81.71,82.1,82.08,82.29,81.83,82.31,81.88,82.02,81.63,82.47,81.96,81.74,81.46,82.59,82.36,82.7,82.19,81.94,81.95,81.92,82.03,82.03,82.7,94,10,30,variance,steps,resnet18,cifar10
kp06djgf,23.29,32.18,37.96,43.86,47.42,53.04,55.66,58.15,60.52,63.11,65.18,66.92,67.77,68.71,69.5,69.86,70.72,71.3,72.5,73.74,73.86,73.91,74.77,75.2,75.72,75.63,76.75,76.91,77.24,76.89,77.17,77.28,78.12,77.28,78.66,77.43,78.32,78.08,78.53,79.09,78.87,79.2,79.33,79.5,79.29,78.91,79.93,78.95,79.3,79.11,79.11,79.42,80.47,79.61,79.88,79.45,80.08,79.59,79.69,79.62,80.06,79.66,79.94,80.03,79.93,80.36,80.03,80.73,79.76,80.39,80.58,81.26,81.27,81.02,81.39,81.36,81.03,81.62,81.27,81.62,81.57,81.92,81.74,81.73,82.08,81.57,81.62,81.8,81.81,80.44,82.26,82.05,81.94,82.76,81.39,81.82,81.94,81.75,82.26,81.47,82.76,94,10,30,variance,steps,resnet18,cifar10
3ncg9y6c,34.06,42.12,47.67,50.73,53.05,57.97,60.87,63.91,66.75,67.36,68.98,70.2,70.68,71.67,72.54,73.85,74.76,74.43,74.87,74.79,75.71,76.34,76.27,76.8,76.88,75.84,78.24,77.45,77.56,77.62,78.21,77.73,79.26,78.81,79.05,78.67,79.5,79.3,79.37,79.48,79.6,79.63,79.75,79.91,80.42,79.73,80.06,80.19,79.99,80.38,80.74,80.44,80.6,81.22,80.84,80.32,81.75,80.24,80.2,80.33,81.19,80.83,80.63,81.38,80.89,81.47,80.51,80.73,79.87,80.32,81.76,81.1,81.39,81.71,81.68,81.55,81.87,81.95,82.1,82.15,81.7,81.24,82.09,82.08,82.01,81.73,81.28,81.89,82.04,81.82,81.86,82.09,81.87,82.56,82.02,81.69,81.74,82.51,81.91,82.25,82.56,94,10,30,variance,steps,resnet18,cifar10
1q3d6dn0,22.61,29.3,35.03,40.66,41.63,50.07,52.53,55.42,58.17,61.54,63.51,64.14,66.7,68.3,68.93,70.62,71.05,72.09,72.55,72.3,73.74,73.93,74.84,75.27,75.12,76.09,75.87,76.61,76.92,77.13,77.97,77.28,77.3,77.25,77.48,78.32,78.5,78.81,79.29,78.94,77.43,78.86,79.26,78.94,78.6,79.21,78.74,79.25,78.73,79.97,79.9,79.69,80.17,79.98,79.26,80.18,79.58,79.85,80.13,80.6,79.91,80.11,80.11,80.28,80.09,80.65,80.76,79.79,80.53,80.17,81.01,81.33,81.21,81.29,81.54,80.91,81.08,81.49,81.86,81.71,80.65,81.57,81.79,81.67,81.28,82.3,81.71,81.1,81.75,81.73,82.07,82.13,81.97,81.38,81.77,81.74,81.63,81.29,82.67,82.37,82.67,99,10,30,variance,steps,resnet18,cifar10
