id,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38,epoch_39,epoch_40,epoch_41,epoch_42,epoch_43,epoch_44,epoch_45,epoch_46,epoch_47,epoch_48,epoch_49,epoch_50,epoch_51,epoch_52,epoch_53,epoch_54,epoch_55,epoch_56,epoch_57,epoch_58,epoch_59,epoch_60,epoch_61,epoch_62,epoch_63,epoch_64,epoch_65,epoch_66,epoch_67,epoch_68,epoch_69,epoch_70,epoch_71,epoch_72,epoch_73,epoch_74,epoch_75,epoch_76,epoch_77,epoch_78,epoch_79,epoch_80,epoch_81,epoch_82,epoch_83,epoch_84,epoch_85,epoch_86,epoch_87,epoch_88,epoch_89,epoch_90,epoch_91,epoch_92,epoch_93,epoch_94,epoch_95,epoch_96,epoch_97,epoch_98,epoch_99,epoch_100,best_accuracy,best_epoch,warmup_epochs,interval_epochs,measure,heuristic,model,dataset
2js2ecag,33.58,43.08,48.64,53.02,56.03,60.7,64.07,65.16,67.51,68.65,69.98,71.01,71.96,72.41,72.78,74.16,74.19,75.72,76.05,75.84,76.47,76.18,77.05,77.68,77.51,78.29,76.92,78.55,77.67,78.67,79.82,79.31,79.27,79.82,79.84,78.76,79.52,79.61,80.27,79.74,80.76,79.89,79.4,80.2,80.59,81.52,80.77,80.85,80.24,81.07,81.09,80.09,80.97,80.7,81.89,81.19,81.29,81.71,80.49,82.19,81.3,81.81,80.49,81.29,81.24,81.61,81.54,82.01,81.86,81.81,82.45,81.88,81.6,82.15,81.88,81.62,81.96,82.04,81.87,81.62,82.16,81.9,81.51,81.71,82.31,81.65,81.73,82.31,82.14,82.19,82.42,82.7,82.39,82.73,81.97,81.99,81.87,81.28,82.67,82.54,82.73,94,10,30,average,roundrobin,resnet18,cifar10
1m9uyacn,31.32,38.82,46.27,49.23,55.0,59.83,61.5,65.01,66.92,68.79,68.97,71.8,71.93,72.97,74.23,74.53,74.64,75.15,75.5,76.39,76.42,77.13,77.41,78.0,77.88,78.56,78.19,77.74,78.41,79.13,78.68,78.78,79.3,78.59,79.87,80.0,80.14,79.8,80.41,80.33,80.5,80.43,80.71,80.42,80.94,81.15,81.48,80.81,80.84,80.84,81.21,81.02,81.65,81.23,80.87,81.45,80.5,81.24,82.1,80.52,81.15,81.89,81.39,82.06,81.54,81.51,81.77,81.66,81.22,82.61,82.04,81.53,81.54,82.06,81.46,82.45,81.92,82.39,81.69,81.64,81.34,82.42,81.09,81.81,81.79,82.45,81.8,82.23,82.0,82.27,82.72,82.37,82.46,82.48,82.14,82.23,82.2,82.56,81.61,82.32,82.72,91,10,30,average,roundrobin,resnet18,cifar10
37q503zw,35.86,44.69,50.01,54.01,58.68,61.88,65.14,67.0,69.45,70.22,71.02,72.03,72.35,74.41,73.7,74.21,74.77,76.44,76.47,76.02,76.89,76.98,77.96,77.69,78.47,78.34,79.02,79.17,78.98,78.76,79.72,79.63,79.43,80.1,79.88,80.7,80.03,80.31,80.12,80.69,80.66,80.56,80.57,80.66,80.96,81.56,81.93,81.16,80.67,81.11,80.73,81.54,81.12,81.77,81.47,82.11,79.84,81.15,81.64,82.37,81.23,81.86,82.01,82.39,82.22,81.62,82.53,81.8,82.52,82.32,82.25,81.49,82.44,81.63,82.29,81.99,82.11,82.31,82.26,82.11,82.22,82.46,82.0,82.13,82.27,82.34,81.82,82.16,82.49,83.27,82.74,81.9,82.46,82.78,82.44,82.8,82.29,82.24,82.77,82.53,83.27,90,10,30,average,roundrobin,resnet18,cifar10
e6375118,32.71,42.47,47.22,51.05,54.34,58.39,62.48,64.32,66.01,67.89,67.96,70.48,70.68,72.11,73.16,73.34,73.98,75.49,75.22,76.31,75.86,75.96,76.61,77.24,77.47,77.71,78.31,78.4,78.8,78.56,79.11,79.21,79.64,79.07,79.67,79.3,79.15,79.96,80.12,80.74,79.78,80.66,80.45,79.64,79.95,81.03,80.4,81.34,80.95,80.47,81.19,81.02,81.09,81.43,80.86,81.24,81.19,81.36,81.07,81.56,81.13,80.65,80.95,81.69,81.61,81.86,81.85,80.87,81.52,81.91,81.84,81.81,81.66,82.29,81.57,82.48,82.58,82.01,81.75,82.35,81.96,82.83,82.27,81.96,82.13,82.15,81.93,81.91,82.72,82.26,82.55,82.35,82.39,82.67,82.21,82.48,83.05,83.08,81.97,82.19,83.08,98,10,30,average,roundrobin,resnet18,cifar10
22g1tjmp,19.97,34.51,41.59,45.36,48.51,56.08,57.74,61.03,62.78,66.19,67.99,68.41,69.57,70.82,71.48,72.36,72.68,73.72,75.18,74.78,75.92,75.84,76.35,76.56,76.95,76.78,78.12,78.08,77.84,78.44,78.52,79.04,79.44,79.13,79.55,79.43,79.33,79.27,79.71,79.19,80.01,80.27,80.41,80.56,80.74,80.05,79.5,80.77,80.56,80.62,80.97,81.02,81.02,81.17,80.58,80.8,80.61,81.37,81.13,81.46,81.86,80.69,81.65,81.8,81.39,81.44,80.72,80.85,81.78,81.54,81.91,81.61,81.75,81.85,82.37,81.98,82.39,81.19,82.03,81.44,82.2,82.3,82.37,81.62,81.92,81.43,82.17,82.26,82.43,82.01,82.05,82.52,82.08,82.04,82.44,82.52,82.4,82.82,82.1,82.25,82.82,98,10,30,average,roundrobin,resnet18,cifar10
2bmgb46n,34.75,41.5,47.49,50.36,54.88,61.07,62.61,64.93,67.83,68.75,69.0,70.66,71.59,71.99,73.05,74.3,74.84,75.05,75.65,75.76,76.79,77.2,76.79,77.96,77.61,77.73,78.35,78.81,79.27,78.81,79.15,79.91,79.39,79.73,80.06,80.34,79.76,80.32,80.38,80.53,80.53,80.48,80.84,79.36,80.32,81.01,81.18,80.88,80.7,80.47,81.37,81.5,81.13,81.28,80.87,81.74,81.27,80.86,80.85,82.07,81.59,81.4,81.95,81.04,81.73,81.5,81.94,81.64,82.14,81.47,81.71,81.75,81.26,81.91,82.33,82.2,82.41,82.47,82.52,82.0,81.86,81.24,82.01,81.87,82.45,81.58,81.91,82.69,82.28,82.18,82.13,82.4,82.22,82.97,82.21,82.31,82.08,82.08,82.55,82.56,82.97,94,10,30,average,roundrobin,resnet18,cifar10
24xekl9h,23.26,37.51,43.82,47.44,53.36,57.84,59.7,63.65,65.13,67.0,68.14,69.57,70.66,71.64,71.56,72.39,73.38,74.31,73.93,75.73,75.43,76.71,76.58,77.12,77.3,77.65,78.43,77.99,78.14,78.45,78.12,79.6,79.19,79.5,79.42,79.81,79.44,79.48,79.84,80.49,80.46,80.4,79.82,80.82,81.01,80.1,80.87,81.01,79.83,80.72,81.1,80.49,81.34,80.54,80.69,81.11,80.93,80.87,80.89,81.54,81.33,81.24,81.64,81.44,81.43,81.89,80.76,82.07,81.86,81.83,81.93,81.91,81.51,81.88,82.24,81.25,81.43,81.73,81.03,82.0,82.06,81.7,81.6,82.28,82.54,82.23,82.37,82.53,82.31,82.58,82.49,82.34,82.27,81.91,81.78,82.82,82.2,81.97,82.01,82.14,82.82,96,10,30,average,roundrobin,resnet18,cifar10
dgran1hm,21.96,35.73,41.81,47.93,50.33,57.19,60.13,62.44,65.68,67.89,67.62,69.65,70.82,71.1,72.82,73.21,74.23,74.73,75.62,75.25,76.45,75.88,75.25,76.91,76.96,77.97,76.9,78.43,77.83,78.68,77.6,78.4,79.15,78.78,79.29,79.93,79.73,79.98,80.52,79.93,79.29,79.7,80.64,80.38,80.86,79.64,80.3,80.2,81.16,80.68,81.22,80.78,81.59,81.09,80.56,81.2,81.14,81.85,81.92,81.4,81.72,81.77,81.4,81.51,82.16,82.02,82.15,82.02,81.54,81.78,81.82,82.24,81.64,81.95,81.46,82.17,82.01,82.03,82.02,82.15,82.48,81.7,82.1,82.6,81.18,81.56,82.81,82.37,81.86,82.03,82.17,82.74,82.49,82.39,82.71,82.38,81.69,83.05,82.58,82.29,83.05,98,10,30,average,roundrobin,resnet18,cifar10
hoboyia4,35.01,43.1,47.75,50.77,56.38,59.23,61.91,64.68,66.7,66.74,67.95,68.69,71.68,71.71,73.03,74.01,73.51,74.78,75.02,74.76,75.84,76.42,76.39,77.52,77.1,77.56,78.26,78.05,78.35,78.76,78.84,78.33,78.91,78.83,79.39,79.56,79.77,78.88,79.88,79.27,80.07,80.28,80.3,80.93,80.2,80.38,80.28,80.69,80.51,81.24,80.96,80.6,80.8,81.4,81.09,81.08,81.11,80.7,80.55,81.07,80.79,81.34,81.74,81.6,81.15,82.27,81.29,81.61,80.89,81.33,81.07,82.32,81.89,81.29,81.27,82.16,82.12,81.19,81.83,81.25,82.02,81.59,82.56,81.82,81.43,81.36,81.31,82.42,81.87,81.46,81.47,81.69,81.94,82.65,81.91,82.06,82.12,81.79,81.32,81.45,82.65,94,10,30,average,roundrobin,resnet18,cifar10
19ln558h,26.8,36.84,44.05,47.86,50.46,55.44,59.11,61.13,63.27,65.61,67.64,68.86,69.41,70.47,70.39,71.98,73.35,73.48,75.06,74.28,75.81,75.82,75.95,76.78,76.77,77.28,77.07,78.32,78.66,78.23,78.51,78.4,79.1,79.33,78.98,79.31,79.97,80.16,80.01,79.82,79.6,80.33,80.59,80.84,80.92,80.82,80.79,81.3,80.63,81.22,81.02,81.08,81.35,80.81,81.12,81.14,81.26,81.54,81.74,81.67,81.21,81.52,81.16,81.72,82.38,82.27,82.48,82.09,82.59,82.33,82.15,81.93,82.32,81.97,82.13,82.63,81.55,81.82,81.94,81.44,81.86,82.8,82.41,81.91,82.04,82.26,81.95,81.75,82.19,82.22,82.45,81.74,82.58,82.2,82.74,82.23,82.33,82.15,82.54,81.71,82.8,82,10,30,average,roundrobin,resnet18,cifar10
