id,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38,epoch_39,epoch_40,epoch_41,epoch_42,epoch_43,epoch_44,epoch_45,epoch_46,epoch_47,epoch_48,epoch_49,epoch_50,epoch_51,epoch_52,epoch_53,epoch_54,epoch_55,epoch_56,epoch_57,epoch_58,epoch_59,epoch_60,epoch_61,epoch_62,epoch_63,epoch_64,epoch_65,epoch_66,epoch_67,epoch_68,epoch_69,epoch_70,epoch_71,epoch_72,epoch_73,epoch_74,epoch_75,epoch_76,epoch_77,epoch_78,epoch_79,epoch_80,epoch_81,epoch_82,epoch_83,epoch_84,epoch_85,epoch_86,epoch_87,epoch_88,epoch_89,epoch_90,epoch_91,epoch_92,epoch_93,epoch_94,epoch_95,epoch_96,epoch_97,epoch_98,epoch_99,epoch_100,best_accuracy,best_epoch,warmup_epochs,interval_epochs,measure,heuristic,model,dataset
236fz93c,33.09,41.28,47.87,51.35,54.82,58.77,60.36,62.58,65.28,67.8,69.03,70.42,71.65,71.99,72.78,73.66,74.03,74.45,75.16,75.09,75.64,76.82,75.63,76.55,77.84,77.78,78.26,78.1,78.4,78.71,78.53,79.22,79.22,79.38,79.58,78.74,79.5,79.55,80.43,80.14,80.63,80.26,79.4,80.64,80.35,80.49,80.92,80.38,80.44,81.26,80.75,80.05,80.67,80.37,81.18,80.79,80.85,81.27,80.6,81.39,81.51,81.42,81.44,81.74,81.61,81.89,82.19,81.93,81.63,81.8,81.6,81.41,81.94,81.57,82.71,81.95,81.77,81.83,81.63,81.08,82.17,81.88,81.67,82.49,81.99,82.06,82.38,82.29,82.08,81.79,81.98,81.97,81.97,82.08,81.82,82.04,81.82,82.29,82.23,81.95,82.71,75,30,10,variance,roundrobin,resnet18,cifar10
vzyxhqgl,33.43,39.4,47.33,51.78,57.06,59.95,62.84,64.76,66.82,68.53,69.76,71.25,71.18,73.27,73.74,73.7,74.3,75.45,75.86,75.65,76.84,76.92,77.05,77.31,78.11,77.89,78.6,77.96,78.93,78.71,79.01,78.7,80.04,79.72,80.37,80.18,79.54,80.06,80.33,80.4,80.31,80.92,80.54,81.02,80.49,80.95,80.73,80.35,79.64,81.03,81.08,81.02,80.86,81.25,81.82,81.05,80.82,80.58,81.56,81.32,81.92,81.93,81.32,81.57,81.59,82.12,81.31,82.21,82.07,82.09,81.73,82.13,81.55,82.29,83.06,82.48,81.36,82.1,82.79,82.49,82.56,81.78,82.65,82.1,82.29,82.66,82.27,82.34,81.83,82.81,82.4,82.28,81.96,82.4,82.71,82.74,82.3,82.4,81.81,83.07,83.07,100,30,10,variance,roundrobin,resnet18,cifar10
1vfj55p9,36.7,45.93,51.66,57.11,59.7,63.94,65.54,66.4,69.36,70.26,71.64,73.04,73.21,74.03,74.36,74.52,76.18,76.26,76.7,77.07,77.73,77.4,77.72,78.66,78.83,78.46,78.37,78.48,78.22,78.31,78.92,79.65,79.7,79.82,80.24,80.13,80.08,80.11,80.4,80.62,80.91,80.95,80.08,80.51,80.8,80.33,81.55,81.44,80.91,81.32,81.16,81.12,82.29,80.94,81.33,81.95,81.18,81.09,81.73,81.79,81.92,81.68,81.49,82.15,81.76,81.61,81.08,82.15,81.79,81.67,81.75,81.91,80.9,82.26,82.18,82.01,81.54,82.22,82.46,81.92,82.48,81.94,81.73,81.82,81.97,82.59,83.08,82.55,82.47,82.11,81.84,82.31,82.45,82.1,82.44,82.5,82.64,83.27,82.39,82.75,83.27,98,30,10,variance,roundrobin,resnet18,cifar10
1grjznr5,31.53,40.87,45.9,49.69,53.45,57.28,60.31,61.92,64.72,66.97,69.1,69.75,70.26,71.05,72.1,72.65,73.76,74.14,74.44,74.64,76.31,76.6,76.87,77.43,77.17,77.89,78.11,77.82,78.45,78.85,79.34,78.98,78.63,79.23,79.27,78.56,79.84,79.76,80.44,80.14,80.2,80.36,80.48,79.95,80.22,80.46,80.92,80.96,80.78,80.93,80.56,81.24,80.68,80.44,80.71,81.19,80.91,81.09,80.77,80.9,82.21,80.81,80.82,81.76,80.96,81.34,81.64,81.59,82.06,81.55,81.51,82.34,82.11,81.76,81.53,81.99,81.65,81.74,82.01,81.83,81.68,82.32,82.29,82.04,82.15,82.8,82.08,82.25,81.82,81.19,82.59,81.2,83.14,82.68,82.06,82.2,82.2,82.9,81.95,82.72,83.14,93,30,10,variance,roundrobin,resnet18,cifar10
rnkts4py,20.03,32.54,41.53,44.74,48.14,51.61,55.72,57.91,61.6,64.41,66.71,67.65,69.24,70.14,70.88,72.01,72.4,73.99,74.42,74.13,75.2,75.08,75.18,75.96,76.96,76.73,77.82,77.68,77.76,78.43,78.13,78.29,79.08,79.53,78.7,78.48,79.36,79.27,79.75,79.25,79.24,78.87,79.76,80.14,79.9,80.06,80.03,80.12,79.74,79.85,80.29,80.65,79.79,80.11,80.76,81.01,80.59,81.28,80.96,81.28,82.09,81.16,81.46,81.44,81.78,81.1,81.18,82.02,81.85,81.01,81.32,80.9,80.79,80.48,81.42,81.78,81.7,81.29,81.28,82.11,81.6,81.83,81.93,81.45,82.28,82.75,82.15,82.18,82.09,82.18,82.09,81.95,82.0,82.36,81.97,82.26,82.28,82.28,82.62,82.02,82.75,86,30,10,variance,roundrobin,resnet18,cifar10
161sr1on,34.32,42.62,48.74,52.3,56.07,60.83,62.85,64.56,66.72,68.6,69.68,70.61,72.02,72.85,73.31,73.71,74.49,75.77,75.27,76.28,76.82,77.27,77.5,77.59,77.64,77.61,78.88,77.65,78.33,78.71,79.16,78.71,79.33,78.59,79.34,79.46,80.1,79.85,79.83,80.63,80.3,80.47,80.77,80.74,80.46,79.99,80.95,80.33,81.46,80.88,81.63,81.54,80.93,81.2,81.31,80.49,80.95,81.42,80.74,81.71,81.09,81.65,81.33,81.52,81.56,81.55,82.13,81.06,81.87,81.87,81.27,82.21,81.88,81.95,81.74,81.58,82.3,81.7,81.21,82.3,81.76,83.04,81.99,82.48,81.49,81.75,82.21,82.59,81.73,81.19,81.95,81.53,82.1,82.23,82.16,82.33,82.31,82.54,81.72,82.32,83.04,82,30,10,variance,roundrobin,resnet18,cifar10
1x6c07hx,26.88,38.16,44.69,49.53,52.5,58.08,60.55,63.06,64.67,67.44,68.44,69.97,70.28,72.03,72.54,73.24,73.66,74.88,75.49,75.5,77.11,76.51,77.66,77.01,77.34,78.02,78.25,77.47,78.39,78.17,78.44,78.51,78.98,78.89,78.99,79.56,79.41,79.59,79.15,80.45,80.0,80.48,80.18,81.04,80.48,80.78,80.31,80.75,80.41,81.12,81.41,81.29,80.86,80.76,81.28,81.16,81.81,81.33,81.31,80.99,81.31,81.45,82.24,82.18,81.74,82.07,81.75,81.6,81.94,81.49,81.73,82.14,81.79,81.65,82.12,81.89,80.68,82.16,81.92,81.74,81.88,81.78,82.35,82.09,81.95,82.72,82.39,82.61,81.49,82.49,82.43,81.5,83.02,81.72,82.7,82.39,82.3,82.34,82.49,82.34,83.02,93,30,10,variance,roundrobin,resnet18,cifar10
32v4lrpl,25.85,35.01,42.21,45.93,48.79,55.5,57.38,61.14,62.63,65.48,67.87,68.59,70.03,70.85,72.19,71.22,73.16,73.75,74.66,74.7,74.74,76.41,76.04,76.65,77.07,77.32,78.03,78.54,77.88,78.8,78.98,78.35,79.58,79.58,79.44,79.87,80.0,79.58,79.99,79.94,80.08,79.94,80.21,80.67,80.23,79.87,80.86,80.22,81.39,80.94,80.67,80.28,81.18,81.51,81.77,81.29,81.15,81.38,81.66,81.67,81.31,81.29,81.19,81.78,81.62,81.83,80.98,81.72,81.7,81.74,81.69,82.46,81.74,82.41,82.55,82.09,82.4,81.88,81.89,82.27,82.1,82.91,82.57,82.31,82.43,82.32,82.5,82.79,82.4,82.11,81.92,81.43,82.74,82.67,82.07,82.24,82.2,82.7,82.63,82.68,82.91,82,30,10,variance,roundrobin,resnet18,cifar10
2j9z84di,34.6,42.38,47.79,52.62,54.72,60.17,62.17,64.09,66.26,67.55,69.72,70.06,71.7,71.81,72.59,74.08,74.12,75.09,75.65,74.44,75.76,75.46,76.94,77.09,77.2,78.3,78.45,77.78,78.01,78.94,78.7,79.15,79.44,78.85,78.96,78.85,79.93,80.14,79.39,79.93,80.18,80.36,80.51,80.29,80.79,80.56,80.84,80.15,80.46,80.36,80.62,81.57,80.04,80.88,80.46,81.52,81.36,80.44,80.58,80.64,81.37,81.07,80.9,81.55,81.38,80.98,80.73,81.28,81.39,81.7,81.46,81.74,81.62,82.08,82.01,81.84,81.41,81.56,82.06,81.89,81.52,81.68,81.57,81.98,82.3,82.01,81.69,82.29,81.88,82.62,82.37,82.58,82.36,81.96,81.74,82.18,82.32,82.33,82.54,81.96,82.62,90,30,10,variance,roundrobin,resnet18,cifar10
1fhoy336,24.3,34.39,40.91,46.64,49.5,55.31,58.85,61.34,63.41,66.53,68.33,66.69,70.62,71.48,71.66,72.89,73.31,74.82,74.88,74.37,76.19,75.71,76.82,77.29,77.15,77.76,77.54,77.06,78.36,78.84,78.15,78.24,78.54,79.02,79.09,79.06,80.0,79.51,79.81,80.17,79.16,80.21,79.77,80.3,79.71,80.53,80.05,80.49,80.58,80.43,79.99,80.54,81.22,79.92,81.06,81.16,79.93,81.34,79.96,81.64,81.3,81.35,81.33,81.74,80.58,81.36,81.18,82.06,81.34,81.83,81.89,81.88,81.41,82.38,82.38,81.61,81.91,81.98,81.84,81.83,81.25,81.81,82.93,82.29,81.61,82.38,82.41,81.58,81.97,82.13,82.52,82.07,81.96,81.17,82.81,82.33,81.88,81.91,82.68,82.8,82.93,83,30,10,variance,roundrobin,resnet18,cifar10
